"Mã sản phẩm","Item Group","Tên sản phẩm","Phương pháp bổ sung","Mã đặc tính","Tên đặc tính","Mô tả","Kích thước","Thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-440x380x340mm-HK","Hộp carton 440x380x340mm - Thương hiệu: HKLED","Sử dụng cho: DPCCS200 | DPCCS400","440x380x340mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-440x380x340mm-NO","Hộp carton 440x380x340mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPCCS200 | DPCCS400","440x380x340mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-460x370x130mm-HK","Hộp carton 460x370x130mm - Thương hiệu: HKLED","Sử dụng cho: DPTCC150 | DPTCC200 | DPTCC250 | DNCXS200","460x370x130mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-460x370x130mm-NO","Hộp carton 460x370x130mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPTCC150 | DPTCC200 | DPTCC250 | DNCXS200","460x370x130mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-465x415x150mm-HK","Hộp carton 465x415x150mm - Thương hiệu: HKLED","Sử dụng cho: DPTVC300","465x415x150mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-465x415x150mm-NO","Hộp carton 465x415x150mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPTVC300","465x415x150mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-470x470x160mm-HK","Hộp carton 470x470x160mm - Thương hiệu: HKLED","Sử dụng cho: DX02S200 | DX02S250 | DX03S250","470x470x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-470x470x160mm-NO","Hộp carton 470x470x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DX02S200 | DX02S250 | DX03S250","470x470x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-470x470x440mm-HK","Hộp carton 470x470x440mm - Thương hiệu: HKLED","Sử dụng cho: DPCCS500 | DPCCS600","470x470x440mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-470x470x440mm-NO","Hộp carton 470x470x440mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DPCCS500 | DPCCS600","470x470x440mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x250x160mm-HK","Hộp carton 500x250x160mm - Thương hiệu: HKLED","Sử dụng cho: DP04S200","500x250x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x250x160mm-NO","Hộp carton 500x250x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DP04S200","500x250x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x300x160mm-HK","Hộp carton 500x300x160mm - Thương hiệu: HKLED","Sử dụng cho: DD91S | DD20S050-B | DD22S050 | DD24S050 | DD24S100","500x300x160mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x300x160mm-NO","Hộp carton 500x300x160mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD91S | DD20S050-B | DD22S050 | DD24S050 | DD24S100","500x300x160mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x380x110mm-HK","Hộp carton 500x380x110mm - Thương hiệu: HKLED","Sử dụng cho: DD03S050 | DD11S050 | DD11S100 | DD12S050 | DD13S050 | DD13S100 | DD14S050 | DD15S050","500x380x110mm","HKLED"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-500x380x110mm-NO","Hộp carton 500x380x110mm - Thương hiệu: Không có thương hiệu","Sử dụng cho: DD03S050 | DD11S050 | DD11S100 | DD12S050 | DD13S050 | DD13S100 | DD14S050 | DD15S050","500x380x110mm","Không có thương hiệu"
"HCT","(HCT) Hộp carton","Hộp carton","Mua hàng","HCT-540x380x160mm-HK","Hộp carton 540x380x160mm - Thương hiệu: HKLED","Sử dụng cho: DPTCC300 | DPTRC300 | DNCXS250","540x380x160mm","HKLED"
