"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Phương pháp bổ sung","Mã biến thể","Tên biến thể","Công suất","Phân loại viền"
"PVI-VDD22","Viền/Mặt trước đèn đường D22","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD22S250","Viền/Mặt trước đèn đường D22 Công suất 250W","250W",""
"PVI-VDD23","Viền/Mặt trước đèn đường D23","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD23S050","Viền/Mặt trước đèn đường D23 Công suất 50W","50W",""
"PVI-VDD23","Viền/Mặt trước đèn đường D23","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD23S100","Viền/Mặt trước đèn đường D23 Công suất 100W","100W",""
"PVI-VDD23","Viền/Mặt trước đèn đường D23","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD23S150","Viền/Mặt trước đèn đường D23 Công suất 150W","150W",""
"PVI-VDD23","Viền/Mặt trước đèn đường D23","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD23S200","Viền/Mặt trước đèn đường D23 Công suất 200W","200W",""
"PVI-VDD23","Viền/Mặt trước đèn đường D23","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD23S250","Viền/Mặt trước đèn đường D23 Công suất 250W","250W",""
"PVI-VDD25","Viền/Mặt trước đèn đường D25","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD25S050","Viền/Mặt trước đèn đường D25 Công suất 50W","50W",""
"PVI-VDD25","Viền/Mặt trước đèn đường D25","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD25S100","Viền/Mặt trước đèn đường D25 Công suất 100W","100W",""
"PVI-VDD25","Viền/Mặt trước đèn đường D25","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD25S150","Viền/Mặt trước đèn đường D25 Công suất 150W","150W",""
"PVI-VDD25","Viền/Mặt trước đèn đường D25","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD25S200","Viền/Mặt trước đèn đường D25 Công suất 200W","200W",""
"PVI-VDD25","Viền/Mặt trước đèn đường D25","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD25S250","Viền/Mặt trước đèn đường D25 Công suất 250W","250W",""
"PVI-VDD26","Viền/Mặt trước đèn đường D26","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD26S050","Viền/Mặt trước đèn đường D26 Công suất 50W","50W",""
"PVI-VDD26","Viền/Mặt trước đèn đường D26","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD26S100","Viền/Mặt trước đèn đường D26 Công suất 100W","100W",""
"PVI-VDD26","Viền/Mặt trước đèn đường D26","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD26S150","Viền/Mặt trước đèn đường D26 Công suất 150W","150W",""
"PVI-VDD26","Viền/Mặt trước đèn đường D26","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD26S200","Viền/Mặt trước đèn đường D26 Công suất 200W","200W",""
"PVI-VDD26","Viền/Mặt trước đèn đường D26","(PVI) Viền/Phần mặt trước","Mua hàng","PVI-VDD26S250","Viền/Mặt trước đèn đường D26 Công suất 250W","250W",""
