"Mã sản phẩm","Phương pháp bổ sung","Item Group","Tên sản phẩm","Mã biến thể","Tên biến thể","Công suất","Màu ánh sáng","Chip LED","Nguồn","Kiểu nguồn","Phân loại vỏ"
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3MT","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Meanwell Dim 1 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Meanwell Dim 1 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3ID","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3ID","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trắng (5.000K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3ID","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3ID","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Inventronics Dim 5 Cấp","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Inventronics Dim 5 Cấp","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-6B3SL","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (6.000K - 6.500K), Bridgelux 3030, Năng lượng mặt trời","50","Trắng (6.000K - 6.500K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-5B3SL","Đèn LED pha tròn PTC Chip LED COB 50W | Trắng (5.000K), Bridgelux 3030, Năng lượng mặt trời","50","Trắng (5.000K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-4B3SL","Đèn LED pha tròn PTC Chip LED COB 50W | Trung tính (4.000K - 4.200K), Bridgelux 3030, Năng lượng mặt trời","50","Trung tính (4.000K - 4.200K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to",""
"DPTCC","Sản xuất","Đèn LED pha tròn PTC Chip LED COB","Đèn LED pha tròn PTC Chip LED COB","DPTCC050-3B3SL","Đèn LED pha tròn PTC Chip LED COB 50W | Vàng (3.000K - 3.200K), Bridgelux 3030, Năng lượng mặt trời","50","Vàng (3.000K - 3.200K)","Bridgelux 3030","Năng lượng mặt trời","Nguồn to",""
